ESIID,USAGE_DATE,REVISION_DATE,USAGE_START_TIME,USAGE_END_TIME,USAGE_KWH,ESTIMATED_ACTUAL,CONSUMPTION_SURPLUSGENERATION
'1008901023808934750100,07/01/2021,07/01/2021 12:50:23,00:00,00:15,.045,A,Consumption
'1008901023808934750100,07/01/2021,07/01/2021 12:50:23,00:15,00:30,.03,A,Consumption
'1008901023808934750100,07/01/2021,07/01/2021 12:50:23,00:30,00:45,.045,A,Consumption
'1008901023808934750100,07/01/2021,07/01/2021 12:50:23,00:45,01:00,.032,A,Consumption
'1008901023808934750100,07/01/2021,07/01/2021 12:50:23,01:00,01:15,.042,A,Consumption
'1008901023808934750100,07/01/2021,07/01/2021 12:50:23,01:15,01:30,.035,A,Consumption
'1008901023808934750100,07/01/2021,07/01/2021 12:50:23,01:30,01:45,.039,A,Consumption
'1008901023808934750100,07/01/2021,07/01/2021 12:50:23,01:45,02:00,.037,A,Consumption
'1008901023808934750100,07/01/2021,07/01/2021 12:50:23,02:00,02:15,.036,A,Consumption
'1008901023808934750100,07/01/2021,07/01/2021 12:50:23,02:15,02:30,.039,A,Consumption
'1008901023808934750100,07/01/2021,07/01/2021 12:50:23,02:30,02:45,.034,A,Consumption
'1008901023808934750100,07/01/2021,07/01/2021 12:50:23,02:45,03:00,.042,A,Consumption
'1008901023808934750100,07/01/2021,07/01/2021 12:50:23,03:00,03:15,.031,A,Consumption
'1008901023808934750100,07/01/2021,07/01/2021 12:50:23,03:15,03:30,.043,A,Consumption
'1008901023808934750100,07/01/2021,07/01/2021 12:50:23,03:30,03:45,.03,A,Consumption
'1008901023808934750100,07/01/2021,07/01/2021 12:50:23,03:45,04:00,.045,A,Consumption
'1008901023808934750100,07/01/2021,07/01/2021 12:50:23,04:00,04:15,.031,A,Consumption
'1008901023808934750100,07/01/2021,07/01/2021 12:50:23,04:15,04:30,.043,A,Consumption
'1008901023808934750100,07/01/2021,07/01/2021 12:50:23,04:30,04:45,.033,A,Consumption
'1008901023808934750100,07/01/2021,07/01/2021 12:50:23,04:45,05:00,.04,A,Consumption
'1008901023808934750100,07/01/2021,07/01/2021 12:50:23,05:00,05:15,.034,A,Consumption
'1008901023808934750100,07/01/2021,07/01/2021 12:50:23,05:15,05:30,.039,A,Consumption
'1008901023808934750100,07/01/2021,07/01/2021 12:50:23,05:30,05:45,.042,A,Consumption
'1008901023808934750100,07/01/2021,07/01/2021 12:50:23,05:45,06:00,.032,A,Consumption
'1008901023808934750100,07/01/2021,07/01/2021 12:50:23,06:00,06:15,.043,A,Consumption
'1008901023808934750100,07/01/2021,07/01/2021 12:50:23,06:15,06:30,.031,A,Consumption
'1008901023808934750100,07/01/2021,07/01/2021 12:50:23,06:30,06:45,.045,A,Consumption
'1008901023808934750100,07/01/2021,07/01/2021 12:50:23,06:45,07:00,.031,A,Consumption
'1008901023808934750100,07/01/2021,07/01/2021 12:50:23,07:00,07:15,.045,A,Consumption
'1008901023808934750100,07/01/2021,07/01/2021 12:50:23,07:15,07:30,.032,A,Consumption
'1008901023808934750100,07/01/2021,07/01/2021 12:50:23,07:30,07:45,.043,A,Consumption
'1008901023808934750100,07/01/2021,07/01/2021 12:50:23,07:45,08:00,.036,A,Consumption
'1008901023808934750100,07/01/2021,07/01/2021 12:50:23,08:00,08:15,.158,A,Consumption
'1008901023808934750100,07/01/2021,07/01/2021 12:50:23,08:15,08:30,.055,A,Consumption
'1008901023808934750100,07/01/2021,07/01/2021 12:50:23,08:30,08:45,.132,A,Consumption
'1008901023808934750100,07/01/2021,07/01/2021 12:50:23,08:45,09:00,.087,A,Consumption
'1008901023808934750100,07/01/2021,07/01/2021 12:50:23,09:00,09:15,.07,A,Consumption
'1008901023808934750100,07/01/2021,07/01/2021 12:50:23,09:15,09:30,.074,A,Consumption
'1008901023808934750100,07/01/2021,07/01/2021 12:50:23,09:30,09:45,.072,A,Consumption
'1008901023808934750100,07/01/2021,07/01/2021 12:50:23,09:45,10:00,.069,A,Consumption
'1008901023808934750100,07/01/2021,07/01/2021 12:50:23,10:00,10:15,.51,A,Consumption
'1008901023808934750100,07/01/2021,07/01/2021 12:50:23,10:15,10:30,.228,A,Consumption
'1008901023808934750100,07/01/2021,07/01/2021 12:50:23,10:30,10:45,.045,A,Consumption
'1008901023808934750100,07/01/2021,07/01/2021 12:50:23,10:45,11:00,.045,A,Consumption
'1008901023808934750100,07/01/2021,07/01/2021 12:50:23,11:00,11:15,.064,A,Consumption
'1008901023808934750100,07/01/2021,07/01/2021 12:50:23,11:15,11:30,.176,A,Consumption
'1008901023808934750100,07/01/2021,07/01/2021 12:50:23,11:30,11:45,.179,A,Consumption
'1008901023808934750100,07/01/2021,07/01/2021 12:50:23,11:45,12:00,.906,A,Consumption
'1008901023808934750100,07/01/2021,07/01/2021 12:50:23,12:00,12:15,.258,A,Consumption
'1008901023808934750100,07/01/2021,07/01/2021 12:50:23,12:15,12:30,.048,A,Consumption
'1008901023808934750100,07/01/2021,07/01/2021 12:50:23,12:30,12:45,.059,A,Consumption
'1008901023808934750100,07/01/2021,07/01/2021 12:50:23,12:45,13:00,.642,A,Consumption
'1008901023808934750100,07/01/2021,07/01/2021 12:50:23,13:00,13:15,.321,A,Consumption
'1008901023808934750100,07/01/2021,07/01/2021 12:50:23,13:15,13:30,.173,A,Consumption
'1008901023808934750100,07/01/2021,07/01/2021 12:50:23,13:30,13:45,.936,A,Consumption
'1008901023808934750100,07/01/2021,07/01/2021 12:50:23,13:45,14:00,.17,A,Consumption
'1008901023808934750100,07/01/2021,07/01/2021 12:50:23,14:00,14:15,.656,A,Consumption
'1008901023808934750100,07/01/2021,07/01/2021 12:50:23,14:15,14:30,.596,A,Consumption
'1008901023808934750100,07/01/2021,07/01/2021 12:50:23,14:30,14:45,.424,A,Consumption
'1008901023808934750100,07/01/2021,07/01/2021 12:50:23,14:45,15:00,.942,A,Consumption
'1008901023808934750100,07/01/2021,07/01/2021 12:50:23,15:00,15:15,.478,A,Consumption
'1008901023808934750100,07/01/2021,07/01/2021 12:50:23,15:15,15:30,.903,A,Consumption
'1008901023808934750100,07/01/2021,07/01/2021 12:50:23,15:30,15:45,.922,A,Consumption
'1008901023808934750100,07/01/2021,07/01/2021 12:50:23,15:45,16:00,.92,A,Consumption
'1008901023808934750100,07/01/2021,07/01/2021 12:50:23,16:00,16:15,.641,A,Consumption
'1008901023808934750100,07/01/2021,07/01/2021 12:50:23,16:15,16:30,.776,A,Consumption
'1008901023808934750100,07/01/2021,07/01/2021 12:50:23,16:30,16:45,.537,A,Consumption
'1008901023808934750100,07/01/2021,07/01/2021 12:50:23,16:45,17:00,.961,A,Consumption
'1008901023808934750100,07/01/2021,07/01/2021 12:50:23,17:00,17:15,.536,A,Consumption
'1008901023808934750100,07/01/2021,07/01/2021 12:50:23,17:15,17:30,.684,A,Consumption
'1008901023808934750100,07/01/2021,07/01/2021 12:50:23,17:30,17:45,.997,A,Consumption
'1008901023808934750100,07/01/2021,07/01/2021 12:50:23,17:45,18:00,.677,A,Consumption
'1008901023808934750100,07/01/2021,07/01/2021 12:50:23,18:00,18:15,.64,A,Consumption
'1008901023808934750100,07/01/2021,07/01/2021 12:50:23,18:15,18:30,.644,A,Consumption
'1008901023808934750100,07/01/2021,07/01/2021 12:50:23,18:30,18:45,.909,A,Consumption
'1008901023808934750100,07/01/2021,07/01/2021 12:50:23,18:45,19:00,.459,A,Consumption
'1008901023808934750100,07/01/2021,07/01/2021 12:50:23,19:00,19:15,.695,A,Consumption
'1008901023808934750100,07/01/2021,07/01/2021 12:50:23,19:15,19:30,.644,A,Consumption
'1008901023808934750100,07/01/2021,07/01/2021 12:50:23,19:30,19:45,.491,A,Consumption
'1008901023808934750100,07/01/2021,07/01/2021 12:50:23,19:45,20:00,.438,A,Consumption
'1008901023808934750100,07/01/2021,07/01/2021 12:50:23,20:00,20:15,.503,A,Consumption
'1008901023808934750100,07/01/2021,07/01/2021 12:50:23,20:15,20:30,.84,A,Consumption
'1008901023808934750100,07/01/2021,07/01/2021 12:50:23,20:30,20:45,.541,A,Consumption
'1008901023808934750100,07/01/2021,07/01/2021 12:50:23,20:45,21:00,.609,A,Consumption
'1008901023808934750100,07/01/2021,07/01/2021 12:50:23,21:00,21:15,.821,A,Consumption
'1008901023808934750100,07/01/2021,07/01/2021 12:50:23,21:15,21:30,.5,A,Consumption
'1008901023808934750100,07/01/2021,07/01/2021 12:50:23,21:30,21:45,.413,A,Consumption
'1008901023808934750100,07/01/2021,07/01/2021 12:50:23,21:45,22:00,.342,A,Consumption
'1008901023808934750100,07/01/2021,07/01/2021 12:50:23,22:00,22:15,.423,A,Consumption
'1008901023808934750100,07/01/2021,07/01/2021 12:50:23,22:15,22:30,.39,A,Consumption
'1008901023808934750100,07/01/2021,07/01/2021 12:50:23,22:30,22:45,.162,A,Consumption
'1008901023808934750100,07/01/2021,07/01/2021 12:50:23,22:45,23:00,.352,A,Consumption
'1008901023808934750100,07/01/2021,07/01/2021 12:50:23,23:00,23:15,.034,A,Consumption
'1008901023808934750100,07/01/2021,07/01/2021 12:50:23,23:15,23:30,.044,A,Consumption
'1008901023808934750100,07/01/2021,07/01/2021 12:50:23,23:30,23:45,.037,A,Consumption
'1008901023808934750100,07/01/2021,07/01/2021 12:50:23,23:45,00:00,.038,A,Consumption
'1008901023808934750100,07/02/2021,07/02/2021 12:00:10,00:00,00:15,.04,A,Consumption
'1008901023808934750100,07/02/2021,07/02/2021 12:00:10,00:15,00:30,.034,A,Consumption
'1008901023808934750100,07/02/2021,07/02/2021 12:00:10,00:30,00:45,.043,A,Consumption
'1008901023808934750100,07/02/2021,07/02/2021 12:00:10,00:45,01:00,.03,A,Consumption
'1008901023808934750100,07/02/2021,07/02/2021 12:00:10,01:00,01:15,.044,A,Consumption
'1008901023808934750100,07/02/2021,07/02/2021 12:00:10,01:15,01:30,.029,A,Consumption
'1008901023808934750100,07/02/2021,07/02/2021 12:00:10,01:30,01:45,.045,A,Consumption
'1008901023808934750100,07/02/2021,07/02/2021 12:00:10,01:45,02:00,.034,A,Consumption
'1008901023808934750100,07/02/2021,07/02/2021 12:00:10,02:00,02:15,.039,A,Consumption
'1008901023808934750100,07/02/2021,07/02/2021 12:00:10,02:15,02:30,.038,A,Consumption
'1008901023808934750100,07/02/2021,07/02/2021 12:00:10,02:30,02:45,.034,A,Consumption
'1008901023808934750100,07/02/2021,07/02/2021 12:00:10,02:45,03:00,.044,A,Consumption
'1008901023808934750100,07/02/2021,07/02/2021 12:00:10,03:00,03:15,.029,A,Consumption
'1008901023808934750100,07/02/2021,07/02/2021 12:00:10,03:15,03:30,.045,A,Consumption
'1008901023808934750100,07/02/2021,07/02/2021 12:00:10,03:30,03:45,.03,A,Consumption
'1008901023808934750100,07/02/2021,07/02/2021 12:00:10,03:45,04:00,.043,A,Consumption
'1008901023808934750100,07/02/2021,07/02/2021 12:00:10,04:00,04:15,.035,A,Consumption
'1008901023808934750100,07/02/2021,07/02/2021 12:00:10,04:15,04:30,.038,A,Consumption
'1008901023808934750100,07/02/2021,07/02/2021 12:00:10,04:30,04:45,.04,A,Consumption
'1008901023808934750100,07/02/2021,07/02/2021 12:00:10,04:45,05:00,.032,A,Consumption
'1008901023808934750100,07/02/2021,07/02/2021 12:00:10,05:00,05:15,.043,A,Consumption
'1008901023808934750100,07/02/2021,07/02/2021 12:00:10,05:15,05:30,.029,A,Consumption
'1008901023808934750100,07/02/2021,07/02/2021 12:00:10,05:30,05:45,.045,A,Consumption
'1008901023808934750100,07/02/2021,07/02/2021 12:00:10,05:45,06:00,.034,A,Consumption
'1008901023808934750100,07/02/2021,07/02/2021 12:00:10,06:00,06:15,.04,A,Consumption
'1008901023808934750100,07/02/2021,07/02/2021 12:00:10,06:15,06:30,.495,A,Consumption
'1008901023808934750100,07/02/2021,07/02/2021 12:00:10,06:30,06:45,.039,A,Consumption
